
Tarih	Hft	T1	T2	T3	T4	T5	T6	Joker	Super
11/01/2025	5	5	21	30	32	42	75	29	29
08/01/2025	4	8	36	59	60	68	75	34	12
06/01/2025	3	5	16	54	58	68	84	90	41
04/01/2025	2	2	42	50	57	59	90	6	1
01/01/2025	1	1	21	46	61	71	78	86	7
2024
Tarih	Hft	T1	T2	T3	T4	T5	T6	Joker	Super
30/12/2024	157	1	20	34	43	88	90	33	54
28/12/2024	156	9	16	31	51	73	83	43	67
25/12/2024	155	1	7	19	43	56	82	72	5
23/12/2024	154	5	27	34	58	77	86	54	63
21/12/2024	153	20	40	46	69	78	80	87	38
18/12/2024	152	1	31	32	49	50	75	52	29
16/12/2024	151	3	12	17	56	69	76	16	44
14/12/2024	150	7	15	38	46	68	80	39	35
11/12/2024	149	28	34	56	70	73	86	3	75
09/12/2024	148	10	12	74	80	81	82	32	59
07/12/2024	147	10	13	18	31	55	63	66	36
04/12/2024	146	16	27	44	49	62	73	3	1
02/12/2024	145	3	16	40	44	50	77	21	22
30/11/2024	144	15	38	45	47	57	71	37	89
27/11/2024	143	27	42	47	69	76	85	80	40
25/11/2024	142	11	12	23	24	55	80	9	61
23/11/2024	141	15	25	62	65	77	86	80	37
20/11/2024	140	5	18	29	33	70	81	71	1
18/11/2024	139	2	25	36	58	79	80	66	77
16/11/2024	138	28	51	54	56	59	74	38	29
13/11/2024	137	5	29	30	64	84	89	74	21
11/10/2024	136	4	18	46	47	64	66	29	73
09/11/2024	135	15	33	36	74	78	81	85	57
06/11/2024	134	4	33	37	43	46	63	19	72
04/11/2024	133	9	12	26	38	63	69	55	79
02/11/2024	132	33	54	66	78	80	89	15	4
30/10/2024	131	3	18	22	26	48	85	68	20
28/10/2024	130	8	28	43	57	75	87	20	44
26/10/2024	129	8	13	14	41	47	84	40	36
23/10/2024	128	14	35	38	53	60	89	64	12
21/10/2024	127	20	33	52	54	59	76	5	44
19/10/2024	126	8	21	22	27	49	67	57	74
16/10/2024	125	4	20	43	52	69	89	80	55
14/10/2024	124	8	33	50	59	71	77	35	89
12/10/2024	123	2	9	10	20	44	69	80	39
09/10/2024	122	49	51	63	67	89	90	52	82
07/10/2024	121	27	37	44	46	79	81	10	5
05/10/2024	120	4	7	30	34	48	80	86	31
02/10/2024	119	22	40	54	55	61	62	90	89
30/09/2024	118	30	37	39	65	77	90	28	70
28/09/2024	117	49	53	54	63	67	68	77	80
25/09/2024	116	5	21	25	35	56	82	24	17
23/09/2024	115	3	14	16	54	58	69	42	10
21/09/2024	114	23	44	53	58	88	90	30	43
18/09/2024	113	17	27	48	50	71	88	58	58
16/09/2024	112	1	17	25	35	44	90	46	35
14/09/2024	111	9	19	26	41	77	89	82	53
11/09/2024	110	14	35	56	60	82	87	81	18
09/09/2024	109	4	5	13	15	48	90	47	49
07/09/2024	108	8	13	16	30	38	84	78	70
04/09/2024	107	57	58	62	66	84	89	10	56
02/09/2024	106	15	30	35	45	61	68	11	28
31/08/2024	105	23	45	48	51	73	90	58	32
28/08/2024	104	3	20	34	45	60	71	75	52
26/08/2024	103	35	45	48	50	63	69	15	44
24/08/2024	102	10	13	19	39	87	89	14	83
21/08/2024	101	6	12	16	29	63	72	75	44
19/08/2024	100	3	6	36	45	67	82	11	47
17/08/2024	99	3	19	32	66	71	81	74	9
14/08/2024	98	1	8	10	37	54	77	79	87
12/08/2024	97	16	24	37	73	77	85	22	56
10/08/2024	96	2	19	34	35	38	61	80	64
07/08/2024	95	19	46	54	56	80	82	13	48
05/08/2024	94	15	17	46	51	66	72	69	63
03/08/2024	93	10	13	35	42	60	87	69	17
31/07/2024	92	28	50	52	61	79	89	18	86
29/07/2024	91	3	24	54	72	75	84	35	32
27/07/2024	90	14	21	45	56	70	76	35	53
24/07/2024	89	1	18	31	46	61	84	41	29
22/07/2024	88	1	38	56	60	64	87	33	89
20/07/2024	87	7	23	45	58	60	73	46	26
17/07/2024	86	42	52	57	60	63	73	50	24
15/07/2024	85	2	8	23	48	63	83	43	28
13/07/2024	84	6	29	38	69	78	79	27	38
10/07/2024	83	15	24	31	40	48	90	87	36
08/07/2024	82	6	35	44	53	57	85	4	9
06/07/2024	81	26	32	35	43	56	81	38	44
03/07/2024	80	10	12	32	60	77	87	16	57
01/07/2024	79	13	36	40	44	53	75	55	17
29/06/2024	78	8	40	46	47	57	84	12	29
26/06/2024	77	18	33	38	48	52	75	49	16
24/06/2024	76	18	26	44	63	64	72	34	27
22/06/2024	75	19	30	45	57	78	87	5	4
19/06/2024	74	12	16	33	62	80	84	44	73
17/06/2024	73	23	32	48	51	58	89	83	65
15/06/2024	72	18	20	47	63	64	77	75	83
12/06/2024	71	2	12	13	51	75	89	60	29
10/06/2024	70	3	11	24	33	61	82	69	60
08/06/2024	69	6	7	24	33	35	96	19	61
05/06/2024	68	12	16	45	55	88	90	56	30
03/06/2024	67	6	34	49	61	69	86	63	67
01/06/2024	66	6	34	55	65	74	86	8	23
29/05/2024	65	23	28	44	58	69	78	45	15
27/05/2024	64	18	28	38	41	43	73	49	31
25/05/2024	63	19	28	44	62	73	81	61	89
22/05/2024	62	13	26	30	34	37	56	57	70
20/05/2024	61	6	7	24	51	52	86	80	69
18/05/2024	60	30	42	53	65	79	80	83	57
15/05/2024	59	21	30	42	43	48	50	75	5
13/05/2024	58	25	36	55	61	64	87	43	84
11/05/2024	57	13	32	44	55	57	90	21	36
08/05/2024	56	2	7	19	50	53	54	8	79
06/05/2024	55	5	17	21	52	56	85	79	64
04/05/2024	54	3	26	32	61	82	83	41	68
01/05/2024	53	8	23	44	77	84	86	9	13
29/04/2024	52	10	20	23	47	64	68	67	42
27/04/2024	51	28	47	71	77	81	85	42	35
24/04/2024	50	37	38	49	69	84	90	62	22
22/04/2024	49	3	48	61	71	81	82	42	27
20/04/2024	48	8	15	26	32	47	88	79	12
17/04/2024	47	16	23	24	41	63	85	39	52
15/04/2024	46	4	7	32	42	58	64	65	73
13/04/2024	45	8	55	60	64	70	81	6	15
10/04/2024	44	28	35	36	37	40	73	15	15
08/04/2024	43	27	38	39	42	48	51	22	63
06/04/2024	42	20	32	47	62	72	88	67	34
03/04/2024	41	8	21	27	45	70	82	85	59
01/04/2024	40	6	19	46	49	59	64	34	6
30/03/2024	39	14	17	31	55	56	69	53	56
27/03/2024	38	3	6	18	31	62	87	46	64
25/03/2024	37	9	47	62	68	77	90	56	81
23/03/2024	36	15	19	39	60	69	83	81	32
20/03/2024	35	7	37	44	51	61	66	70	4
18/03/2024	34	3	18	68	84	87	88	26	4
16/03/2024	33	28	34	45	60	71	80	47	59
13/03/2024	32	5	56	59	62	78	84	25	42
11/03/2024	31	27	42	57	65	67	83	50	21
09/03/2024	30	2	8	23	50	51	68	79	81
06/03/2024	29	9	11	46	48	49	86	12	8
04/03/2024	28	35	42	56	58	69	87	24	75
02/03/2024	27	8	19	47	54	56	78	59	81
28/02/2024	26	9	10	17	23	30	60	69	83
26/02/2024	25	1	22	36	58	76	87	4	40
24/02/2024	24	37	69	71	74	77	88	54	22
21/02/2024	23	10	11	47	57	60	67	36	73
19/02/2024	22	7	10	15	31	52	77	78	38
17/02/2024	21	15	36	40	63	74	79	81	66
14/02/2024	20	1	29	40	45	63	74	76	54
12/02/2024	19	36	40	50	53	70	76	49	77
10/02/2024	18	3	42	47	64	71	74	33	88
07/02/2024	17	23	26	29	41	69	77	51	6
05/02/2024	16	15	30	48	53	76	77	61	67
31/01/2024	14	9	13	79	83	84	89	18	4
29/01/2024	13	16	18	25	26	71	83	1	31
27/01/2024	12	22	57	60	62	64	83	41	72
24/01/2024	11	3	5	37	50	52	62	59	53
22/01/2024	10	9	17	20	33	63	75	38	74
20/01/2024	9	10	25	31	45	65	77	18	55
17/01/2024	8	13	26	38	55	60	63	61	63
15/01/2024	7	7	11	21	22	27	63	48	55
13/01/2024	6	27	44	60	67	68	88	85	16
10/01/2024	5	14	28	41	45	49	62	60	46
08/01/2024	4	4	33	35	62	65	76	67	50
06/01/2024	3	45	49	51	60	71	86	77	38
03/01/2024	2	3	18	50	54	66	86	22	25
01/01/2024	1	20	21	31	45	46	87	37	90
2023
Tarih	Hft	T1	T2	T3	T4	T5	T6	Joker	Super
03/02/2023	15	33	38	47	57	81	85	49	41
30/12/2023	156	40	41	46	62	74	85	18	61
27/12/2023	155	17	39	44	60	68	87	5	70
25/12/2023	154	43	55	56	60	64	66	12	60
23/12/2023	153	18	20	42	50	54	85	61	67
20/12/2023	152	1	16	45	50	54	78	66	36
18/12/2023	151	33	45	53	80	85	89	77	39
16/12/2023	150	4	10	24	41	87	88	1	74
13/12/2023	149	1	13	20	78	86	87	50	5
11/12/2023	148	27	36	41	47	59	67	5	24
09/12/2023	147	9	22	29	53	72	87	58	12
06/12/2023	146	14	16	44	59	70	89	73	43
04/12/2023	145	5	29	36	39	47	51	78	18
02/12/2023	144	43	48	51	69	82	86	29	5
29/11/2023	143	13	42	44	52	67	75	21	77
27/11/2023	142	32	35	36	47	62	63	1	57
25/11/2023	141	25	28	40	50	53	90	80	6
22/11/2023	140	2	5	15	23	36	49	66	64
20/11/2023	139	24	25	31	68	74	75	62	53
18/11/2023	138	3	49	55	76	81	86	36	61
15/11/2023	137	31	33	38	56	67	78	26	56
13/11/2023	136	43	60	68	71	74	90	54	21
11/11/2023	135	24	30	56	60	63	85	34	18
08/11/2023	134	6	19	44	45	50	81	38	25
06/11/2023	133	22	34	36	46	50	69	83	60
04/11/2023	132	8	42	64	76	83	86	46	30
01/11/2023	131	2	31	33	65	69	87	85	71
30/10/2023	130	6	34	46	66	71	83	42	77
28/10/2023	129	1	2	11	20	21	41	26	35
25/10/2023	128	11	20	42	47	54	57	2	29
23/10/2023	127	35	37	59	60	75	85	28	25
21/10/2023	126	13	18	32	37	58	75	26	21
18/10/2023	125	49	51	60	61	66	73	31	51
16/10/2023	124	2	12	15	31	48	58	71	66
14/10/2023	123	4	59	76	83	86	90	38	69
11/10/2023	122	10	14	38	43	50	81	12	35
09/10/2023	121	19	26	28	38	59	77	57	66
07/10/2023	120	20	22	36	65	66	69	16	53
04/10/2023	119	5	22	39	61	75	80	66	55
02/10/2023	118	3	19	45	58	62	88	34	16
30/09/2023	117	22	27	28	62	75	76	16	46
27/09/2023	116	32	50	57	69	70	75	5	65
25/09/2023	115	15	23	25	76	79	89	83	34
23/09/2023	114	1	11	34	40	60	72	75	19
20/09/2023	113	26	34	38	43	68	76	44	11
18/09/2023	112	39	40	42	45	50	55	69	15
16/09/2023	111	14	45	67	73	82	88	89	85
13/09/2023	110	11	14	50	54	61	73	30	7
11/09/2023	109	3	14	20	40	79	84	35	67
09/09/2023	108	1	2	13	16	24	47	11	17
06/09/2023	107	12	35	45	60	68	70	27	35
04/09/2023	106	3	37	70	80	86	90	39	2
02/09/2023	105	29	36	38	43	49	78	46	65
30/08/2023	104	6	20	40	46	47	48	28	71
28/08/2023	103	1	29	36	48	60	89	67	56
26/08/2023	102	15	30	72	76	78	79	51	51
23/08/2023	101	9	18	24	42	76	86	71	10
21/08/2023	100	17	20	32	33	49	57	40	18
19/08/2023	99	37	45	48	55	73	84	24	68
16/08/2023	98	45	58	66	79	84	89	9	64
14/08/2023	97	5	6	31	66	67	77	64	89
12/08/2023	96	39	59	60	63	81	84	7	60
02/08/2023	95	20	36	39	69	71	75	88	42
07/08/2023	94	21	34	40	51	79	88	33	30
05/06/2023	93	18	26	34	43	52	80	36	45
02/08/2023	92	4	32	64	71	82	89	3	21
31/07/2023	91	1	26	34	56	64	67	71	14
29/07/2023	90	33	45	63	66	74	89	67	89
26/07/2023	89	10	20	23	30	83	89	7	80
24/07/2023	88	4	12	31	38	68	83	9	48
22/07/2023	87	12	34	52	56	59	82	15	71
19/07/2023	86	25	28	44	60	77	89	47	13
17/07/2023	85	5	30	55	62	66	78	79	16
15/07/2023	84	14	28	41	45	66	87	39	4
12/07/2023	83	21	30	31	40	51	71	54	59
10/07/2023	82	27	42	45	53	63	81	85	78
08/07/2023	81	10	37	45	67	73	84	68	45
05/07/2023	80	4	16	37	38	64	81	22	79
03/07/2023	79	7	14	52	71	77	87	46	89
01/07/2023	78	3	19	24	41	46	50	4	13
18/06/2023	77	14	19	72	73	75	82	28	72
26/06/2023	76	51	64	69	70	78	85	42	42
24/06/2023	75	18	51	64	66	84	87	24	24
21/06/2023	74	10	25	39	47	52	72	61	26
19/06/2023	73	9	22	27	50	74	86	2	76
17/06/2023	72	7	30	32	33	34	35	54	55
14/06/2023	71	4	9	34	38	89	90	86	67
12/06/2023	70	1	12	46	58	80	86	30	50
10/06/2023	69	2	37	39	45	50	52	34	17
07/06/2023	68	1	12	41	49	55	71	8	34
05/06/2023	67	15	56	67	69	88	89	1	54
03/06/2023	66	24	26	43	54	62	85	8	43
31/05/2023	65	1	7	10	30	49	66	46	43
29/05/2023	64	8	15	47	63	69	86	18	59
27/05/2023	63	20	22	32	46	56	75	66	77
24/05/2023	62	11	37	38	40	49	78	59	69
22/05/2023	61	18	36	45	48	49	69	58	68
20/05/2023	60	3	14	18	51	62	68	31	84
19/05/2023	59	14	29	40	46	79	89	19	66
15/05/2023	58	10	13	20	31	69	87	56	56
13/05/2023	57	25	49	66	80	81	88	55	90
10/05/2023	56	17	30	35	62	89	90	28	7
08/05/2023	55	9	15	46	47	57	67	86	14
06/05/2023	54	21	29	66	67	82	87	55	65
03/05/2023	53	7	18	45	47	61	88	60	13
01/05/2023	52	34	39	43	49	56	57	52	43
29/04/2023	51	8	11	41	58	84	87	63	76
26/04/2023	50	8	25	53	62	71	82	28	25
24/04/2023	49	12	15	45	62	74	84	76	50
22/04/2023	48	7	8	11	20	46	76	5	18
19/04/2023	47	35	41	42	46	70	87	7	62
17/04/2023	46	5	6	18	25	48	72	2	70
15/04/2023	45	9	26	39	43	56	64	87	9
12/04/2023	44	38	42	63	65	82	85	9	72
10/04/2023	43	1	2	11	33	38	89	81	50
08/04/2023	42	5	20	21	31	40	51	24	80
05/04/2023	41	25	36	39	47	55	58	51	70
03/04/2023	40	2	11	47	61	80	89	74	13
01/04/2023	39	10	28	38	70	86	89	13	8
29/03/2023	38	21	33	49	50	51	55	76	59
27/03/2023	37	23	25	36	38	82	83	16	34
25/03/2023	36	6	37	66	72	77	83	1	53
22/03/2023	35	3	29	58	68	69	77	42	14
20/03/2023	34	11	14	15	25	26	74	64	58
18/03/2023	33	11	18	30	60	81	84	17	61
15/03/2023	32	11	28	29	58	68	78	24	26
13/03/2023	31	5	30	78	81	83	90	62	21
11/03/2023	30	23	38	45	66	77	83	75	2
08/03/2023	29	28	29	30	37	61	71	10	9
06/03/2023	28	5	7	38	57	64	66	16	76
04/03/2023	27	48	57	62	74	87	88	42	8
01/03/2023	26	5	6	8	24	57	58	87	59
27/02/2023	25	6	7	71	74	82	86	38	73
25/02/2023	24	1	17	25	55	62	77	13	82
22/02/2023	23	21	24	63	72	80	86	46	85
20/02/2023	22	5	13	42	45	68	81	41	3
18/02/2023	21	20	23	40	60	83	85	64	4
15/02/2023	20	11	32	59	60	67	85	26	70
13/02/2023	19	4	7	23	37	40	50	75	55
11/02/2023	18	6	11	16	46	59	69	25	52
08/02/2023	17	5	6	21	44	71	79	43	87
06/02/2023	16	12	30	48	52	61	82	55	30
04/02/2023	15	25	31	37	38	56	85	29	15
01/02/2023	14	12	13	79	87	88	89	29	87
30/01/2023	13	7	61	63	75	83	89	71	71
28/01/2023	12	7	11	29	44	45	84	51	76
25/01/2023	11	26	29	40	63	70	88	72	65
23/01/2023	10	4	17	30	65	69	78	33	3
21/01/2023	9	39	49	62	81	87	88	14	14
18/01/2023	8	10	22	35	44	52	85	81	64
16/01/2023	7	2	23	34	41	57	70	49	79
14/01/2023	6	8	34	56	77	85	89	6	32
11/01/2023	5	1	22	32	50	74	81	33	69
09/01/2023	4	4	21	23	33	35	48	12	73
07/01/2023	3	21	45	51	58	63	87	15	44
04/01/2023	2	5	28	48	60	63	80	46	62
02/01/2023	1	2	6	9	25	50	65	79	70
2022
Tarih	Hft	T1	T2	T3	T4	T5	T6	Joker	Super
30/12/2022	157	16	22	42	64	68	84	51	76
28/12/2022	156	11	28	52	71	77	87	12	69
26/12/2022	155	4	18	23	33	71	89	54	63
24/12/2022	154	9	31	34	75	80	86	50	62
21/12/2022	153	51	54	63	67	77	88	9	24
19/12/2022	152	32	35	42	74	80	84	58	83
17/12/2022	151	7	13	39	41	65	69	45	66
14/12/2022	150	13	27	29	34	58	82	38	13
12/12/2022	149	6	16	27	32	62	68	57	42
10/12/2022	148	1	41	59	63	65	86	27	60
07/12/2022	147	4	14	26	39	47	64	11	53
05/12/2022	146	38	44	51	60	66	80	11	14
03/12/2022	145	4	12	14	52	68	76	57	67
30/11/2022	144	8	14	26	30	83	84	17	52
28/11/2022	143	13	28	34	67	77	81	36	71
26/11/2022	142	2	12	21	58	63	64	70	26
23/11/2022	141	2	26	27	31	60	71	14	77
21/11/2022	140	8	29	54	65	76	87	25	46
19/11/2022	139	9	19	41	55	63	68	11	89
16/11/2022	138	37	38	63	66	78	85	73	67
14/11/2022	137	2	5	10	12	55	67	90	74
12/11/2022	136	28	33	52	61	68	69	70	41
09/11/2022	135	14	42	46	71	77	85	64	82
07/11/2022	134	37	55	58	64	66	72	16	79
05/11/2022	133	28	36	44	71	78	88	65	4
02/11/2022	132	6	22	23	40	78	79	74	1
31/10/2022	131	1	4	64	67	77	88	59	68
29/10/2022	130	1	3	7	17	41	46	21	20
26/10/2022	129	29	31	40	67	81	90	88	22
24/10/2022	128	13	24	50	59	65	80	14	73
22/10/2022	127	2	4	11	36	49	69	33	52
19/10/2022	126	23	24	29	33	60	75	85	36
17/10/2022	125	6	31	61	68	71	78	18	2
15/10/2022	124	13	24	27	45	65	81	88	48
12/10/2022	123	4	15	18	46	85	90	86	26
10/10/2022	122	14	28	46	56	57	58	40	37
08/10/2022	121	14	16	30	52	63	72	28	40
05/10/2022	120	1	3	25	30	62	75	17	56
03/10/2022	119	21	25	35	65	78	90	32	74
01/10/2022	118	22	28	43	44	45	46	29	47
26/09/2022	116	40	44	66	82	84	87	47	75
24/09/2022	115	2	7	15	20	21	43	25	47
21/09/2022	114	1	3	41	43	49	86	62	56
19/09/2022	113	15	23	35	39	56	64	9	17
17/09/2022	112	55	56	60	66	79	81	4	5
14/09/2022	111	18	34	52	64	66	67	60	23
12/09/2022	110	12	14	24	27	65	67	31	74
10/09/2022	109	13	19	27	32	35	84	74	60
07/09/2022	108	8	22	25	37	70	78	46	50
05/09/2022	107	9	16	39	49	56	77	73	86
03/09/2022	106	33	36	41	43	69	74	6	80
31/08/2022	105	25	45	56	72	83	89	58	28
29/08/2022	104	13	24	34	47	76	82	86	74
27/08/2022	103	5	9	28	29	50	81	89	84
24/08/2022	102	3	22	38	77	82	87	56	71
22/08/2022	101	10	12	14	31	60	69	4	86
20/08/2022	100	34	37	44	66	74	83	68	2
17/08/2022	99	11	26	28	64	74	87	67	52
15/08/2022	98	3	10	28	45	67	76	39	51
13/08/2022	97	24	46	61	69	79	86	15	69
10/08/2022	96	9	13	19	28	46	69	88	28
08/08/2022	95	13	17	26	29	34	90	72	21
06/08/2022	94	11	13	16	28	53	58	77	23
03/08/2022	93	5	12	13	14	32	71	79	24
01/08/2022	92	4	38	63	80	86	87	39	50
30/07/2022	91	16	18	43	53	58	78	46	71
27/07/2022	90	3	4	19	84	85	87	11	68
25/07/2022	89	8	15	23	34	46	73	47	39
23/07/2022	88	9	10	28	40	53	76	39	12
20/07/2022	87	8	25	32	41	46	49	10	21
18/07/2022	86	9	11	27	51	62	72	18	81
16/07/2022	85	10	17	26	29	75	80	32	90
13/07/2022	84	3	8	21	46	60	90	57	87
11/07/2022	83	8	22	23	40	51	89	60	89
09/07/2022	82	15	81	83	87	88	90	16	23
06/07/2022	81	49	79	81	82	83	88	52	85
04/07/2022	80	20	21	55	81	86	88	90	32
02/07/2022	79	12	36	42	71	86	89	33	62
29/06/2022	78	1	12	19	22	53	67	65	5
27/06/2022	77	25	45	48	55	79	82	60	2
25/06/2022	76	9	15	25	46	49	71	39	20
22/06/2022	75	16	18	36	37	69	77	57	3
20/06/2022	74	14	31	40	53	61	88	60	87
18/06/2022	73	10	20	36	49	67	71	56	19
15/06/2022	72	7	22	28	57	86	89	17	30
13/06/2022	71	2	3	25	57	60	86	45	6
11/06/2022	70	4	29	55	64	72	83	24	84
08/06/2022	69	26	50	58	69	73	88	32	48
06/06/2022	68	9	24	33	37	62	65	77	38
04/06/2022	67	23	42	57	71	79	89	80	77
01/06/2022	66	20	53	59	66	76	79	40	14
30/05/2022	65	7	20	28	34	46	86	9	35
28/05/2022	64	9	20	26	35	38	78	72	81
15/05/2022	63	4	18	24	34	60	86	8	21
23/05/2022	62	9	11	25	26	66	85	5	19
21/05/2022	61	21	46	62	73	87	90	86	53
18/05/2022	60	14	23	43	57	74	88	28	61
16/05/2022	59	26	53	56	57	67	80	2	81
14/05/2022	58	1	14	38	56	66	71	25	49
11/05/2022	57	11	27	54	57	65	82	78	63
05/05/2022	56	7	10	32	53	63	75	37	50
07/05/2022	55	7	8	12	35	68	73	77	57
04/05/2022	54	26	35	39	43	48	51	67	69
02/05/2022	53	12	23	41	45	53	77	70	32
30/04/2022	52	9	12	36	39	57	72	37	46
27/04/2022	51	29	32	35	47	64	73	68	72
25/04/2022	50	2	48	48	61	75	84	52	41
23/04/2022	49	1	3	31	70	83	86	18	34
20/04/2022	48	4	13	15	75	79	86	12	69
18/04/2022	47	25	27	38	68	73	88	49	23
16/04/2022	46	16	22	47	78	79	80	23	75
13/04/2022	45	6	38	49	62	72	82	40	65
11/04/2022	44	26	31	33	46	60	72	84	15
09/04/2022	43	3	6	23	53	62	71	90	28
06/04/2022	42	5	29	44	59	64	89	26	53
04/04/2022	41	3	8	13	22	71	73	58	6
02/04/2022	40	15	44	72	75	80	88	76	40
30/03/2022	39	1	13	49	56	78	88	19	13
28/03/2022	38	5	33	36	51	68	78	15	5
26/03/2022	37	8	11	22	41	44	59	19	59
23/03/2022	36	6	13	19	31	70	84	51	70
21/03/2022	35	15	18	49	56	68	79	47	80
19/03/2022	34	9	20	22	23	25	86	2	82
16/03/2022	33	31	40	42	45	73	89	90	47
14/03/2022	32	19	32	40	42	47	58	61	42
12/03/2022	31	25	29	44	61	76	79	35	40
09/03/2022	30	15	32	68	69	81	84	29	17
07/03/2022	29	9	25	41	52	78	86	57	5
05/03/2022	28	18	19	42	47	53	89	73	89
02/03/2022	27	25	69	70	76	81	84	12	61
28/02/2022	26	14	23	40	41	42	53	46	5
26/02/2022	25	18	59	64	74	79	80	85	31
23/02/2022	24	10	25	28	56	66	86	41	66
21/02/2022	23	3	28	52	87	89	90	27	25
16/02/2022	21	28	39	42	68	71	74	19	37
14/02/2022	20	23	25	37	43	45	67	87	54
09/02/2022	18	9	29	43	60	68	69	56	81
07/02/2022	17	1	12	51	57	64	76	78	44
05/02/2022	16	6	12	66	75	76	78	27	76
02/02/2022	15	31	38	40	42	50	71	64	53
31/01/2022	14	17	28	44	59	66	80	90	29
29/01/2022	13	3	8	23	61	63	64	65	11
26/01/2022	12	30	50	58	71	87	88	15	17
24/01/2022	11	6	24	37	56	71	83	10	36
22/01/2022	10	15	56	61	64	68	86	4	74
19/01/2022	9	17	40	47	50	63	75	14	40
17/01/2022	8	4	25	32	44	67	75	54	78
15/01/2022	7	6	19	22	23	27	84	26	25
12/01/2022	6	1	9	39	59	64	68	55	24
10/01/2022	5	36	55	60	64	70	86	44	56
08/01/2022	4	18	39	49	60	75	77	13	87
05/01/2022	3	7	18	20	37	61	88	10	13
03/01/2022	2	25	36	45	57	70	87	86	46
01/01/2022	1	9	60	72	77	78	90	20	77
2021
Tarih	Hft	T1	T2	T3	T4	T5	T6	Joker	Super
19/02/2021	22	5	11	12	18	34	85	37	49
12/02/2021	19	23	33	38	62	80	90	79	40
29/12/2021	156	34	43	47	57	73	89	85	35
27/12/2021	155	6	36	54	55	85	88	64	44
25/12/2021	154	10	45	53	66	77	88	64	49
22/12/2021	153	6	12	14	48	55	72	18	2
20/12/2021	152	7	18	63	67	69	78	10	24
18/12/2021	151	2	13	14	33	63	88	70	27
15/12/2021	150	2	21	24	45	83	84	58	35
13/12/2021	149	1	9	18	41	56	79	83	11
11/12/2021	148	18	33	41	59	77	87	6	24
08/12/2021	147	5	17	26	44	58	71	63	56
06/12/2021	146	35	37	38	56	79	88	36	26
04/12/2021	145	15	36	39	45	81	89	69	22
01/12/2021	144	5	34	47	61	64	66	48	9
29/11/2021	143	27	35	37	42	60	63	49	20
27/11/2021	142	17	43	46	61	69	89	41	56
24/11/2021	141	32	52	71	73	77	84	15	16
22/11/2021	140	7	47	48	62	69	83	23	83
20/11/2021	139	13	43	48	53	63	67	74	13
17/11/2021	138	53	56	61	65	71	81	16	55
15/11/2021	137	13	15	43	51	71	88	50	84
13/11/2021	136	31	47	67	74	79	86	29	65
